city,state,address_1,postal_code,classification,reason_for_recall,product_description,product_quantity,status,dt_report_date,dt_termination_date,report_year,report_month,report_day
Santa Fe Springs,CA,13409 Orden Dr,90670-6336,Class II,"Some chocolate products imported from Japan do not have the English label for Nutrition facts, ingredients or allergens, which include milk, soy, egg, tree nuts.","CHOCOLATE CHOCO BABY (S) MEIJI, 1.19 oz.  Item number 70582    UPC 074410705824 - only on those bars with English labeling.    Distributed by Wismettac Asian Foods, Inc.",61 cases (10 individual items in inner carton) x 12 / master case,Terminated,2019-06-19,2019-07-05,2019,6,19
Portland,OR,1300 Se Stark St Ste 401,97214-2473,Class I,"Mini Chocolate Croissants are recalled because the Ingredients statement and Contains statement do not declare EGG.  In addition, Mini Chocolate Croissants are recalled because the Contains statement does not declare SOY LECITHIN.","Mini Chocolate Croissants, 8-Pack, packaged in a clear plastic clam-shell container, net wt. 7.6 oz., UPC 8 04600 10905 1",299 packages (8 pieces per package),Terminated,2018-07-04,2018-06-29,2018,7,4
Los Angeles,CA,1700 N Soto St,90033-1127,Class II,AI Foods is recalling egg roll skins due to undeclared wheat.,"Banana Langka Empanada (6.5 oz), 24 units/case, UPC 0 30283 16483 0",2 units,Terminated,2015-04-15,2015-07-24,2015,4,15
Hazle Township,PA,301 Parkview Rd,18202-9723,Class I,Undeclared egg,Brat Roll Frozen Dough Product Code 18429 UPC: 00078296184292. Individual unit wt 2.50 oz. Packaged in a cardboard box. 180 pieces per case.,949 cases,Ongoing,2023-06-14,,2023,6,14
Edwardsville,IL,3744 Staunton Rd,62025-6936,Class I,The product contains undeclared egg.,"Prairie Farms Premium Flavored Chocolate Milk, 1 gallon, UPC 72730-26110",355 gallons,Terminated,2020-12-16,2020-12-23,2020,12,16
Concord,,475 North Rivermede Road,,Class II,"The products were shipped without labels declaring the nutrition and ingredients information and the presence of egg, milk, and wheat allergens.",Mini Naan Eight (8) nann packaged in coated paper printed board and transparent wrap with a net weight of 12.6 oz (360 g) per package and old under the US Foods brand. Product is labeled with instructions to keep frozen until use. Eight (8) packages per case.,"7,783 cases",Terminated,2015-04-01,2017-11-28,2015,4,1
East Windsor,CT,100 Bridge St,06088-9585,Class I,Contains undeclared egg.,Pink lady and salmon avocado roll (9 oz) with expiration 08/12/2022,24 rolls total,Terminated,2022-09-21,2022-11-03,2022,9,21
San Carlos,CA,1056 Commercial St,94070-4026,Class II,"It was discovered that the specification used by the supplier was incorrect and therefore the ingredient statement was incorrect and did not include unbleached wheat flour and bulgur wheat. The packaging does note that the products are packaged in a facility that also processes tree nuts, peanuts, milk, wheat, egg and soy.","NatureBox Picante Ranch Mix  Spicy Snack Mix with Corn Nuts and Masa Chips;    Net. WT: 4 oz. (113 g), Stand up Pouch,  Vegan  Ingredients: Corn Nuts (corn, canola oil, soybean oil, salt), Sugar, Flax Chips (Yellow corn masa, flax seeds, soybean oil, salt) Snack Seasoning(sour cream, salt, whey, corn syrup, tomato, maltodextrin, garlic powder, onion powder, cheddar cheese ([pasteurized milk, cheese cultures, salt, enzymes], whey, buttermilk solids, salt, disodium phosphate), milk, vinegar, soybean oil, citric acid, spice, parsley), corn Syrup, chili Powder, Red Pepper.  No UPC on product.    Distributed by NatureBox,  San Carlos, CA  94070","5,371 bags",Terminated,2014-02-05,2014-03-03,2014,2,5
Austin,TX,550 Bowie St,78703-4644,Class I,Undeclared egg,Decorated Red Apple Cookies sold in display case in retail stores,4880 cookies,Terminated,2019-10-02,2020-01-14,2019,10,2
Austin,TX,601 N Lamar Blvd Ste 300,78703-5424,Class I,Whole and sliced Apple and Cherry Pies from five stores in the Mid-Atlantic Region contain  undeclared milk and egg.,"Whole Foods Market Everyday Double Crust Apple Pie sold in clear plastic clamshell with scale label applied. Sold as whole pie or by the slice. PLUs 33404, 74272, 74259",548 pies (total),Terminated,2021-10-27,2021-12-08,2021,10,27
Portland,OR,1300 Se Stark St Ste 401,97214-2473,Class II,Meyer Lemon Chia Muffin is recalled because the Contains statement does not declare EGG.,"Meyer Lemon Chia Muffin, 4-pack, packaged in a clear clamshell container, net wt. 13.6 oz., UPC 8 40600 10953 2",241 packages (4 pieces per package),Terminated,2018-07-04,2018-06-29,2018,7,4
El Monte,CA,10942 Klingerman St Ste B,91733-2712,Class I,Vegan Golden nuggets were sampled by the FDA and found to contain egg that is not declared on the label.,"Vegan Golden Nuggets, (1 lb. bags)  Ingredients: (NON GMO) Textured Soybean Fiber, Isolated Soy Protein, Soybean Oil, Sugar, Salt, Pepper, Vegan Chicken Flavor Seasoning (Food Additive: Modified Starch Seasoning, Yeast Extract (Yeast Extract, Salt, Water), Crisp Powder, Bread Powder (Wheat). Keep Frozen","3 cases, 30 bags per case",Terminated,2022-11-16,2023-01-24,2022,11,16
Brisbane,CA,99 Park Ln,94005-1309,Class I,Labeling for Croissants and Chocolate Croissants fails to declare  egg in the ingredients list or allergen information. The croissants are manufactured with an egg wash.,"Croissant;  Sold in self service case labeled ""Croissant""  PLU 481976 or clam shell package of 4 - PLU 241593.    Ingredient: Water, Wheat Flour, Sugar Butter (Pasteurized Cream, Salt), Milk (Powder Fat Whole), Salt, Yeast, Ascorbic Acid.  Contains Wheat, Milk    Whole Foods Market, Emeryville, CA",799 croissants,Terminated,2016-09-21,2016-09-15,2016,9,21
Norcross,GA,6015 Unity Dr Ste B,30071-3575,Class I,"During an inspection by the FDA the firm was notified by FDA that the product contains undeclared egg, milk, wheat  & soy.","IFN iFORCE NUTRITION MASS GAINZ PROTEIN MATRIX BROWN SUGAR MAPLE OATMEAL COOKIE NET WT 2.2 KG/4.85 LBS container UPC 8 19500 01010 1 Mfg. For Dist. By Trib?????? Enterprises, LLC Vista, CA 92081",4.85lb - 121 jugs + 10lb - 499 pouches,Ongoing,2021-05-26,,2021,5,26
Brisbane,CA,201 S Hill Dr,94005-1204,Class I,Undeclared allergen; egg.,Large 4- Red Bean Mooncake Gift Box,,Ongoing,2023-10-25,,2023,10,25
Arden Hills,MN,4001 Lexington Ave N,55126-2934,Class I,"Kozy Shack is recalling one lot of Kozy Shack Indulgent Recipe Pudding in a Salted Caramel cardboard sleeve because it may contain Vanilla Bean Pudding cups, which contain egg.",Kozy Shack Indulgent Salted Caramel,6423 cases,Terminated,2015-12-09,2016-02-04,2015,12,9
Austin,TX,550 Bowie St,78703-4644,Class I,Potential to contain undeclared egg,"Roasted Turkey Chef Plate with Mac & Cheese and Broccoli, packaged in clear plastic container with printed label product code begins with 242019",580.91units (total of all products),Terminated,2020-12-02,2020-12-04,2020,12,2
Grand Rapids,MI,2929 Walker Ave Nw,49544-6402,Class I,salads and sandwiches contain a sourced cooked egg ingredient which tested positive for Salmonella by the supplier.,MARKETS OF MEIJER SALAD SEASHELL MACARONI   Food service,2363 units,Terminated,2016-09-21,2016-10-28,2016,9,21
Bethesda,MD,6905 Rockledge Dr,20817-1828,Class I,"Ultra Tuna Salad Sandwich label declares Mayo and Bread, but label does NOT declare Egg and Wheat.","Ultra Tuna Salad Sandwich, brand DishD'Lish.  The label declares Albacore Tuna with Fresh Herbs, Mayo, Capers, Cucumbers, and pickles on Organic Whole Grain Bread.  Served with Sweet Pickle Chips.",46 units,Terminated,2023-05-31,2023-05-25,2023,5,31
Brisbane,CA,201 S Hill Dr,94005-1204,Class I,Undeclared allergen; egg.,Large 4- Lotus Pine Nut Mooncake Gift Box,,Ongoing,2023-10-25,,2023,10,25
Glendale,CA,601 Vine St,912041417,Class I,"Sugar Flowers Plus Inc of Glendale, CA is recalling Cake Decors Pastillage (gum paste) Flowers because of the undeclared use of egg white wash as a glue for the inner petals of flowers.",Pastillage (gum paste) Flowers,,Terminated,2013-01-23,2013-09-13,2013,1,23
Maspeth,NY,5729 49th St,11378-2014,Class I,Canadian Food Inspection Agency analytical results revealed the presence of undeclared egg allergen.,"SEAFOOD BALL COMBO ASSORTI BOULETTES AUX PRODUCTS DE MER FISH BALL, FRIED FISH BALL, FRIED SHRIMP BALL, FISH BALL WITH DACE, CUTTLEFISH BALL, Net Wt 260g/9.2oz, UPC 0 68636 05205 2, Product of Canada, KEEP REFRIGERATED",58 cases,Terminated,2016-07-13,2017-05-08,2016,7,13
South El Monte,CA,2111 Chico Ave,91733-1606,Class I,Undeclared egg,"Giai Phat Cuttle Fish Ball NET WT. 8 oz. (227g)  Keep Frozen  Open Package Before Thawing  Item # 31108  Ingredients: Cuttle Fish, Surimi (Japanese Threadfin Bream Fish, Sugar, Polyphosphate), Water, Tapioca Flour, Salt, Monosodium Glutamate, Garlic Powder, White Pepper, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch and Monocalcium Phosphate) and Spice  Distributed By: 888 Food Co.  S. El Monte, CA 91733","335,401 bags (total)",Terminated,2022-06-29,2023-01-31,2022,6,29
Trumbull,CT,30 Lindeman Dr,06611-4755,Class I,Cupcakes contain undeclared milk and egg due to supplier ingredient.,"""Divvies Vegan and Nut Free Vanilla Cupcakes with Vanilla Frosting ***Net. Wt. 6 oz. """,672 cases - vanilla,Terminated,2021-01-20,2021-08-16,2021,1,20
Delray Beach,FL,14095 US Highway 441,33446-9600,Class I,Undeclared allergens of egg and milk due to incorrect label,Pero Family Farms Fresh n' Savory Simple Side Kit Zucchini Spiral Pesto; 11 oz. EXP 2020-03-20. Cooks in 5 Minutes,446 cases/4 trays of 11 oz ea,Terminated,2020-03-25,2020-04-16,2020,3,25
Rochester,NY,1500 Brooks Ave,14624,Class II,"Wegmans Food Markets, Inc. has initiated a voluntary recall of all Wegmans Easter Bread (braided loaf) 17 oz., UPC 0 77890 32431 8 (all code dates) because it contains egg, which are not declared on the label.","Scale label printed with ""EASTER BREAD NET WT 17oz (1.06lb)"" UPC 0 77890 32431 8, packaged in clear plastic bag","29,681 units",Terminated,2014-05-14,2014-06-23,2014,5,14
Ann Arbor,MI,3723 Plaza Dr Ste 2,48108-3327,Class I,undeclared egg,Zingerman's Harvest Pumpkin Gelato pint (16oz) and quart (32oz) sizes,"58 pints, 10 quarts",Terminated,2022-11-23,2022-12-01,2022,11,23
Albert Lea,MN,2110 Yh Hanson Ave,56007-3406,Class II,Firm is recalling various Egg Salads and Potato Salads because they may contain undeclared traces of imitation crab meat,"Mrs. Gerry's Kwik Trip Egg Salad, Net Wt. 35 lb. (15.87kg), UPC 17839-61135.  Keep Refrigerated.  Manufactured by Mrs. Gerry's, Albert Lea, MN  56007",2415 lbs.,Terminated,2018-04-25,2019-06-21,2018,4,25
Kent,WA,"23444 30th Ave S., Space #104",98032-2807,Class I,"Butter Creek Farms, Inc.  is recalling M&M Cookies due to undeclared Wheat, Egg, Milk, and Soy. The firm sold single product or combined this product with other products in gift boxes from the website http://cowchipcookies.com/index.htm.",M&M Cookies,unknown,Terminated,2014-04-09,2014-09-24,2014,4,9
Downers Grove,IL,3250 Lacey Rd,60515-7901,Class I,Undeclared egg,"7-Eleven The Italian Job  refrigerated sandwich, clear plastic overwrap  net wt. 9.7 oz.",1038 sandwiches,Terminated,2019-06-19,2020-11-03,2019,6,19
Los Angeles,CA,1700 N Soto St,90033-1127,Class II,AI Foods is recalling egg roll skins due to undeclared wheat.,"Lumpia Vegetable with Shrimp, Net Wt. 20 oz., 12 units/case, UPC 0 30283 15027 7, UPC 0 30283 16397 0.",92 units,Terminated,2015-04-15,2015-07-24,2015,4,15
Boise,ID,250 E Park Center Blvd,83726-0020,Class I,"Undeclared allergens; fish, shellfish, egg, and wheat","Ready Meals Snow Crab Legs Imitation Surimi  SCE NET WT 12 OZ CAL 300 NET WT. 0lb 12oz (340g) ready2eat Tomato paste, water, high fructose corn syrup, distilled vinegar, horseradish, salt, lemon juice concentrate, soybean oil, beet powder, natural and artificial flavor, zanthan gum, potassium sorbate and sodium benzoate (used as preservatives) and calcium disodium edta (to protect quality). ##TOMK## **CONTAINS: SOY** UPC 23463900000  Store Banners: ACME, Albertsons, Andronico s Community Markets, Balducci s, Carrs-Safeway, Eagle, Jewel-Osco, King s, Pak  N Save, Safeway, Shaw s, Star Market, Vons",,Terminated,2022-08-24,2022-09-29,2022,8,24
Leavenworth,WA,10171 Chumstick Hwy,98826-8762,Class II,"Undeclared Wheat, Milk, Egg, Soy, or Sesame on retail packaged bread products due to no ingredient statements.","Cinnamon Bread, Bosket Bread brand.  The Net weight of the products range from 1-1.5 lbs. No UPC.    Product is packaged in food grade plastic bag with the black Bosket Bread logo sticker on the front,  but without the ingredients statement affixed on a package.",4 units,Terminated,2022-01-19,2022-01-10,2022,1,19
Edwardsville,IL,3744 Staunton Rd,62025-6936,Class I,The product contains undeclared egg.,"Prairie Farms 1% Lowfat Chocolate Milk, 1 gallon, UPC 72730-26126",797 gallons,Terminated,2020-12-16,2020-12-23,2020,12,16
Wittenberg,WI,203 N Genesee St,54499-9154,Class II,"Coffee cake may contain undeclared wheat, egg, milk, and walnuts.","Cinnamon Walnut Coffee Cake,  Item 258, Net Wt. 24 oz.",24 units,Terminated,2021-02-03,2021-03-19,2021,2,3
Milwaukee,WI,726 S 12th St.,53204-1211,Class I,"Garden Fresh Foods, Inc. is recalling Garden Fresh Egg Salad because it has the potential to be contaminated with Listeria monocytogenes.","Garden Fresh Egg Salad, Code #2022, Net Wt. 5 lbs. (2.268 Kg)  UPC 11596-52022",425 lbs. (85 - 5 lb. containers),Terminated,2014-10-01,2014-12-04,2014,10,1
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"Large Hamburger Buns, Valley Bakery, Rock Valley, IA, 8 count. UPC 290225402752, packaged in clear plastic bags",25 retail packages,Terminated,2017-05-03,2017-07-17,2017,5,3
Dearborn,MI,6470 Miller Rd,48126-2364,Class I,"Kinnikinnick Foods Inc., a Canadian manufacturer notifed Jerusalem Manufacturing Natural Food and Wholesalers, Inc. in Dearborn, MI to recall the Kinnikinnick Foods Brand Frozen Pies, 290g/10 ounces. 2 crusts per box, 6 boxes per case due to EGG not declared on the label.","Kinnikinnick Foods Brand Frozen Pie Crusts, 290g/10 ounces. 2 crusts per box, 6 boxes per case",80 cs,Terminated,2013-02-06,2013-02-07,2013,2,6
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"Large Hamburger Buns, Valley Bakery, Rock Valley, IA, 12 count. UPC 290707404002, packaged in clear plastic bags",74 retail packages,Terminated,2017-05-03,2017-07-17,2017,5,3
Ephrata,PA,314 Spring Glen Dr,17522-9249,Class I,Undeclared egg and milk due to mis-labeling.,Rice Pudding 5lb plastic containers. UPC: 4428421260.   Refrigerated 34¿F-38¿F,272 containers,Terminated,2020-11-11,2022-01-13,2020,11,11
Gordonville,PA,4021B Old Philadelphia Pike,17529-9769,Class I,"Product labeling fails to declare allergens (egg, soybean oil) contained in mayonnaise used as ingredients","Sadie's Salads Old Fashioned Cream Slaw, 5 lb, 10 lb and 30 lb plastic tubs",Unknown,Terminated,2012-10-10,2013-10-18,2012,10,10
East Windsor,CT,100 Bridge St,06088-9585,Class I,Contains undeclared egg.,Spicy salmon roll (9.6 oz) with expiration 08/12/2022,24 rolls total,Terminated,2022-09-21,2022-11-03,2022,9,21
Landover,MD,1521 Cabin Branch Dr,20785-3816,Class I,"Pimento cheese was mislabeled with an ingredient list, which did not declare the presence of mayonnaise, containing egg sub-ingredient.","Pimento Cheese, packaged in 7 oz. plastic containers, and labeled in part ***Made by Whole Foods Market, Landover, MD 20785***UPC: 000000234801",624 units,Terminated,2013-08-07,2013-09-11,2013,8,7
South El Monte,CA,2111 Chico Ave,91733-1606,Class I,Undeclared egg,"Giai Phat Shrimp Ball NET Wt. 7 oz. (198g)  Keep Frozen  Open Packaging Before Thawing  Item #30108  Ingredients: Shrimp (surimi), Water, Tapioca Flour, Salt, Sugar, Monosodium, Glutamate, Garlic Powder, White Pepper, Baking Powder, Spice, Sesame Oil, and Red #40 Food Color  Manufactured By: 888 Food Co.   S. EL Monte, CA 91733","335,401 bags (total)",Terminated,2022-06-29,2023-01-31,2022,6,29
City Of Commerce,CA,5200 Sheila Street,90040,Class I,Unified Grocers is recalling special value ginger snap cookies because it was mislabeled and it contains undeclared egg.,"Ginger Snap Cookies, 12 oz., Item Code: 48918, UPC 0-41380-23359",482 cases,Terminated,2014-03-05,2014-07-11,2014,3,5
Pittsburgh,PA,101 Kappa Dr,15238-2809,Class I,"Giant Eagle Voluntarily Recalls Breaded Shrimp Due to an Undeclared Egg Allergen. All lot codes up to and including best by October 24, 2017 of Giant Eagle brand Breaded Shrimp, prepared and sold from the Prepared Foods grab and go sections inside Giant Eagle and Market District supermarkets through October 19, 2017 have been voluntarily recalled by Giant Eagle due to an undeclared egg allergen.","Giant Eagle Breaded Shrimp  Pittsburgh, PA 15238  PLU # 86815    refrigerated, packed in plastic clam shell. Sell by dates: up to and including Oct 25 2017. Located in the Grab ""n Go refrigerated cases at Giant Eagle and Market District supermarkets.",554 units,Terminated,2017-11-22,2018-10-26,2017,11,22
City Of Industry,CA,15339 Don Julian Rd,91745-1034,Class I,"Product was found to have the presence of egg, which is not declared on the label.",JSJ DMC Leaf Cake 3.35 oz (95g) 28 units per case produced date: 2022/11/08,"12,432 units total",Terminated,2023-03-15,2023-06-06,2023,3,15
Plano,TX,7701 Legacy Dr,75024-4002,Class I,The firm is recalling GRANDMA'S Peanut Butter Sandwich Creme cookies and GRANDMA'S Peanut Butter Mini Sandwich Creme cookies because they contain undeclared milk and egg.,"Grandma's Peanut Butter Mini Sandwich Creme Cookies, Net WT. 1.71 oz, Frito-Lay, Inc. Plano, TX 75024",,Terminated,2013-01-23,2013-03-29,2013,1,23
